Nama Produk,Harga,Link,Gambar
ASUS LAPTOP NOTEBOOK E1404FA-FHD3822M AMD RYZEN R3-7320U,Rp 5.899.000,https://myhartono.com/en/asus-laptop-notebook-e1404fa-fhd3822m-amd-ryzen-r3-7320u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/417/E1404FA-FHD3822M_E_copy.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK 14X K3405VA-OLEDS551 INTEL CORE I5-13500H,Rp 11.899.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-14x-k3405va-oleds551-intel-core-i5-13500h/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/372/K3405VA-OLEDS551_E-2.jpg
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E410KA-FHD426M INTEL CELERON N4500,Rp 4.649.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e410ka-fhd426m-intel-celeron-n4500-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/406/E410KA-FHD426M.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E410KA-FHD429 INTEL CELERON N4500,Rp 4.649.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e410ka-fhd429-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/397/90NB0UA5-M00XW0.webp
ASUS LAPTOP NOTEBOOK E410KA-FHD454M INTEL CELERON N4500,Rp 4.899.000,https://myhartono.com/en/asus-laptop-notebook-e410ka-fhd454m-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/404/E410KA-FHD454M_ECS-1_copy.WEBP
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E410KA-FHD454M INTEL CELERON N4500,Rp 4.899.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e410ka-fhd454m-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/406/90NB0UA5-M010W0.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E410KA-FHD426M INTEL CELERON N4500,Rp 4.649.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e410ka-fhd426m-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/398/E410KA-FHD426M.webp
ASUS LAPTOP NOTEBOOK A1404ZA-VIPS5853M INTEL CORE I5-1235U,Rp 7.699.000,https://myhartono.com/en/asus-laptop-notebook-a1404za-vips5853m-intel-core-i5-1235u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/A1404ZA-VIPS5853M-bms_copy.webp
ASUS LAPTOP NOTEBOOK E1404FA-VIPS558M AMD RYZEN 5 7520U,Rp 7.449.000,https://myhartono.com/en/asus-laptop-notebook-e1404fa-vips558m-amd-ryzen-5-7520u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/404/90NB0ZS2-M00SE0-1_copy.WEBP
ASUS LAPTOP NOTEBOOK E1404FA-VIPS558 AMD RYZEN 5 7520U,Rp 7.449.000,https://myhartono.com/en/asus-laptop-notebook-e1404fa-vips558-amd-ryzen-5-7520u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/392/90NB0ZS2-M00R30.webp
