Nama Produk,Harga,Link,Gambar
HP LAPTOP NOTEBOOK 14S-EP0001TU INTEL CORE I5-1335U,8.249.000,https://myhartono.com/en/hp-laptop-notebook-14s-ep0001tu-intel-core-i5-1335u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/389/7M4V9PA_AR6.webp
HP LAPTOP NOTEBOOK 14S-EP0019TU INTEL CORE I7-1355U,11.699.000,https://myhartono.com/en/hp-laptop-notebook-14s-ep0019tu-intel-core-i7-1355u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/389/7M4W4PA_AR6.webp
HP LAPTOP NOTEBOOK 14S-EP0018TU INTEL CORE I7-1355U,11.699.000,https://myhartono.com/en/hp-laptop-notebook-14s-ep0018tu-intel-core-i7-1355u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/389/7M4W3PA_AR6.webp
HP LAPTOP NOTEBOOK 14-EP0269TU INTEL CORE I3-1315U,6.549.000,https://myhartono.com/en/hp-laptop-notebook-14-ep0269tu-intel-core-i3-1315u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/417/B5UQ9PA_AR6_8.webp
HP LAPTOP NOTEBOOK 14-EM0168AU AMD RYZEN 7-7730U,10.199.000,https://myhartono.com/en/hp-laptop-notebook-14-em0168au-amd-ryzen-7-7730u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/401/AD7Q1PA_AR6_E.webp
HP LAPTOP NOTEBOOK 14-EM0333AU AMD RYZEN 3 7320U,6.199.000,https://myhartono.com/en/hp-laptop-notebook-14-em0333au-amd-ryzen-3-7320u-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/401/AA3V8PA_AR6_q233-4u.webp
HP LAPTOP NOTEBOOK 14-EM0332AU AMD RYZEN 3 7320U,6.199.000,https://myhartono.com/en/hp-laptop-notebook-14-em0332au-amd-ryzen-3-7320u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/401/AA3V7PA_AR6.webp
HP LAPTOP NOTEBOOK 14-EM0018AU AMD RYZEN 5-7530U,7.849.000,https://myhartono.com/en/hp-laptop-notebook-14-em0018au-amd-ryzen-5-7530u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/401/7L9C9PA_AR6_E.webp
HP LAPTOP NOTEBOOK 14-EM0223AU AMD ATHLON SILVER 7120U,5.249.000,https://myhartono.com/en/hp-laptop-notebook-14-em0223au-amd-athlon-silver-7120u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/399/AA6C2PA_AR6_E.webp
HP LAPTOP NOTEBOOK 14-EM0222AU AMD ATHLON SILVER 7120U,5.049.000,https://myhartono.com/en/hp-laptop-notebook-14-em0222au-amd-athlon-silver-7120u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/403/AA3V6PA-AR6-1_copy.WEBP
