Nama Produk,Harga,Link,Gambar
LENOVO 27 inch LED MONITOR N27q,1.619.000,https://myhartono.com/en/lenovo-led-monitor-n27q-ips-100hz-67c2gac1wwn1/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/394/67C2GAC1WW_N1-3_copy.WEBP
LENOVO 23.8 inch LED MONITOR L24i-4A,1.299.000,https://myhartono.com/en/lenovo-led-monitor-l24i-4a-ips-100-hz-67bckac6ww/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/394/67BCKAC6WW-3_copy.WEBP
LENOVO IDEACENTRE AIO 3 22IAP7 CELERON 7305,5.899.000,https://myhartono.com/en/lenovo-ideacentre-aio-3-22iap7-celeron-7305-116006/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/363/F0GG001FID-BMS.jpg
LENOVO LAPTOP NOTEBOOK IDEAPAD SLIM 3 14ABR8 AMD RYZEN 7-7730U,9.399.000,https://myhartono.com/en/lenovo-laptop-notebook-ideapad-slim-3-14abr8-amd-ryzen-7-7730u-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/417/IPS3_82XL008VID.webp
LENOVO CONVERTIBLE LAPTOP NOTEBOOK IDEAPAD 5 2IN1 14IRU9 INTEL CORE 7-150U,13.749.000,https://myhartono.com/en/lenovo-convertible-laptop-notebook-ideapad-5-2in1-14iru9-intel-core-7-150u-121928/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/382/IP52IN1_83DT000CID-13.jpg
LENOVO CONVERTIBLE LAPTOP NOTEBOOK IDEAPAD 5 2IN1 14IRU9 INTEL CORE 5-120U,11.849.000,https://myhartono.com/en/lenovo-convertible-laptop-notebook-ideapad-5-2in1-14iru9-intel-core-5-120u-121927/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/387/IP52IN1_83DT000AID.webp
LENOVO CONVERTIBLE LAPTOP NOTEBOOK IDEAPAD 5 2IN1 14AHP AMD RYZEN 5-8645HS,10.899.000,https://myhartono.com/en/lenovo-convertible-laptop-notebook-ideapad-5-2in1-14ahp-amd-ryzen-5-8645hs-121925/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/381/IP52IN1_83DR000BID-13.jpg
LENOVO 24.5 inch FHD GAMING MONITOR R25I-30 67B7GACBWW_OE,1.699.000,https://myhartono.com/en/lenovo-24.5-inch-fhd-gaming-monitor-r25i-30-67b7gacbwwoe/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/387/67B7GACBWW_OE-240624-1_copy.webp
LENOVO 21.5 inch FHD LED MONITOR L22E-40 67AFKACBWW_N1,999.000,https://myhartono.com/en/lenovo-21.5-inch-fhd-led-monitor-l22e-40-67afkacbwwn1/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/385/67AFKACBWW_N1.jpg
LENOVO GAMING LAPTOP NOTEBOOK LOQ 15AHP9 AMD RYZEN 7-8845HS WITH AI CHIP LA1,15.499.000,https://myhartono.com/en/lenovo-gaming-laptop-notebook-loq-15ahp9-amd-ryzen-7-8845hs-with-ai-chip-la1/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/385/LOQ_83DX0037ID_axm3-96.jpg
